Date,Total_PnL,Total_Volume_USD,Unique_Traders,Total_Trades,FGI_Value,Sentiment
2023-05-01,0.0,477.0,1,3,63,Greed
2023-12-05,0.0,50005.83,1,9,75,Greed
2023-12-14,-205.43473700000007,113203.35,1,11,72,Greed
2023-12-15,-24.632033999999997,10609.95,1,2,70,Greed
2023-12-16,0.0,15348.77,1,3,67,Greed
2023-12-17,304.982785,116278.02,1,14,73,Greed
2023-12-18,0.0,31164.179999999997,1,2,65,Greed
2023-12-19,1000.5386120000001,91602.41,1,15,73,Greed
2023-12-20,162.732282,141636.79,1,18,74,Greed
2023-12-21,537.211402,125233.97,1,49,70,Greed
2023-12-22,141.832675,88874.28,1,10,74,Greed
2023-12-23,146.936704,78438.25,1,13,70,Greed
2023-12-24,1008.619956,402954.94,1,39,71,Greed
2023-12-25,-245.081348,59948.51,1,3,73,Greed
2023-12-27,-704.8892269999999,171411.06,1,28,73,Greed
2023-12-28,-970.730876,100117.25,1,23,73,Greed
2023-12-29,508.92214299999995,569559.72,1,50,65,Greed
2023-12-30,354.998648,702550.21,1,52,68,Greed
2024-01-01,-129.53146,264239.52999999997,1,18,65,Greed
2024-01-02,783.979116,121348.74,1,17,71,Greed
2024-01-03,866.015507,394499.36,1,67,70,Greed
2024-01-04,-67.60364,99792.54000000001,1,5,68,Greed
2024-01-05,164.141565,1703942.66,1,66,72,Greed
2024-01-06,135.58166400000002,298521.4,1,22,70,Greed
2024-01-07,-835.681235,1048850.06,1,97,71,Greed
2024-01-08,-269.874439,1522452.43,1,128,71,Greed
2024-01-09,-826.349863,870051.97,1,70,76,Greed
2024-01-10,-1517.091342,2057479.48,1,193,73,Greed
2024-01-11,-164.08950099999998,305314.1,2,21,76,Greed
2024-01-12,-1925.519024,200082.27,1,7,71,Greed
2024-01-15,152.85358,50636.1,2,14,52,Neutral
2024-01-16,-2299.171458,116427.33,2,9,64,Greed
2024-01-17,813.2741110000001,800831.03,1,53,60,Greed
2024-01-18,68.93319,424631.52999999997,1,46,63,Greed
2024-01-19,-385.419235,428428.97,2,48,51,Neutral
2024-01-20,-146.57487000000003,1070090.51,1,106,52,Neutral
2024-01-21,266.58114600000005,103129.74,1,11,56,Greed
2024-01-22,1375.640959,337878.99,2,85,55,Greed
2024-01-23,-369.2447299999998,414518.93000000005,1,45,50,Neutral
2024-01-24,-2808.353815,965084.59,1,68,48,Neutral
2024-01-25,-3093.6293849999997,66566.13,1,6,52,Neutral
2024-01-26,90.2,11773.21,2,5,49,Neutral
2024-01-28,-2478.06972,18109.03,1,11,54,Neutral
2024-01-29,486.562542,414208.18,2,74,55,Greed
2024-01-30,-173.65419100000003,401011.38,1,49,61,Greed
2024-01-31,-799.840817,6305647.13,1,859,60,Greed
2024-02-01,0.0,2008.18,1,6,63,Greed
2024-02-02,456.423473,474278.43,1,42,63,Greed
2024-02-03,223.30918699999998,603820.0,1,56,60,Greed
2024-02-04,47.62389499999999,203187.53,1,35,60,Greed
2024-02-05,-33.45419400000003,770198.26,1,72,60,Greed
2024-02-06,-215.615907,8047153.41,1,1088,64,Greed
2024-02-07,241.24212,6758.73,1,15,62,Greed
2024-02-08,770.756024,26051.12,1,10,66,Greed
2024-02-11,983.443176,212311.82,1,34,71,Greed
2024-02-12,913.8817869999998,227247.69999999998,1,16,70,Greed
2024-02-13,559.44389,1999.99,1,14,79,Greed
2024-02-14,3830.599833,320839.88,2,111,74,Greed
2024-02-15,1840.797677,185188.04,2,63,72,Greed
2024-02-16,5491.768834,564896.51,2,182,72,Greed
2024-02-17,1929.6418,406118.07,2,94,76,Greed
2024-02-18,477.6248299999999,157048.17,1,97,72,Greed
2024-02-19,4317.768563,286377.2,2,101,75,Greed
2024-02-20,3263.628824,119419.72,2,39,72,Greed
2024-02-21,1858.7985700000002,108047.51999999999,2,22,78,Greed
2024-02-22,3894.1050699999996,373033.87,2,88,74,Greed
2024-02-23,1418.55293,111106.14,1,143,76,Greed
2024-02-25,-30.7705,4480.13,1,5,74,Greed
2024-02-26,4416.8473,192187.14,2,39,72,Greed
2024-02-27,888.511733,209362.3,2,63,79,Greed
2024-02-28,2503.747235,171107.13,1,45,82,Greed
2024-02-29,9813.996992,395666.73,2,116,80,Greed
2024-03-01,8244.241409,472974.7,1,137,80,Greed
2024-03-02,230.90060000000005,63197.56,2,31,80,Greed
2024-03-03,8361.086245,390745.68,1,79,83,Greed
2024-03-04,27799.775742,1577996.87,2,300,82,Greed
2024-03-05,19791.026041,841810.32,1,180,90,Greed
2024-03-06,6814.825139,327218.02,1,82,75,Greed
2024-03-08,4271.886236,183583.18,1,67,81,Greed
2024-03-09,9949.501624,658178.75,1,117,84,Greed
2024-03-10,2482.9272,219973.85,1,42,79,Greed
2024-03-11,3588.179495,176519.44999999998,1,42,82,Greed
2024-03-12,3039.166,103040.85,1,8,81,Greed
2024-03-13,0.0,6000.799999999999,1,7,81,Greed
2024-03-14,3465.865832,205933.18,2,18,88,Greed
2024-03-15,6236.513651,351894.41,3,62,83,Greed
2024-03-16,228.57984,37223.66,2,8,81,Greed
2024-03-17,503.293955,99506.95,3,23,79,Greed
2024-03-18,1456.9577,90458.08,3,19,77,Greed
2024-03-19,668.797973,219884.84,3,24,79,Greed
2024-03-20,6423.134599,215705.85,2,69,74,Greed
2024-03-21,2335.5080749999997,117895.57,3,28,78,Greed
2024-03-24,1297.018477,92592.20999999999,1,19,74,Greed
2024-03-25,1302.916428,57116.32,1,7,75,Greed
2024-03-26,3215.906593,198565.19,2,118,81,Greed
2024-03-27,150.41114,99864.79,2,38,83,Greed
2024-03-28,227.85100799999998,35323.72,2,13,80,Greed
2024-03-29,883.097404,86914.37,1,15,79,Greed
2024-03-30,1100.57514,101103.92,1,45,75,Greed
2024-03-31,912.786145,39912.96,1,13,75,Greed
2024-04-01,2507.963406,339470.47,2,77,79,Greed
2024-04-02,883.760812,239664.50999999998,2,41,79,Greed
2024-04-03,126.7884,16887.57,2,4,71,Greed
2024-04-04,0.0,95987.73,1,32,70,Greed
2024-04-05,10706.484306,503791.8,3,100,79,Greed
2024-04-06,236.33513399999998,68223.67,1,16,75,Greed
2024-04-07,0.0,49988.14,1,23,78,Greed
2024-04-08,1218.4267,211940.64,2,30,76,Greed
2024-04-09,0.0,57063.840000000004,1,3,80,Greed
2024-04-10,5207.443414,351735.97,1,41,78,Greed
2024-04-11,389.743164,76400.96,1,16,76,Greed
2024-04-12,-592.6458390000001,442088.59,3,129,79,Greed
2024-04-13,6621.451755,486411.25,2,89,72,Greed
2024-04-14,-36104.012520000004,659162.17,2,107,72,Greed
2024-04-15,3774.08872,291111.19,2,41,74,Greed
2024-04-16,2467.702221,181907.17,2,47,65,Greed
2024-04-17,2441.4683999999997,97562.99,1,14,67,Greed
2024-04-19,1946.4454620000001,337257.92000000004,1,35,66,Greed
2024-04-20,0.0,60733.24,2,22,66,Greed
2024-04-22,0.0,47993.61,1,9,73,Greed
2024-04-23,1119.536196,233054.9,2,66,71,Greed
2024-04-24,279.185907,141275.24,1,20,72,Greed
2024-04-25,0.0,120241.01,2,74,72,Greed
2024-04-26,0.0,4988.290000000001,1,3,70,Greed
2024-04-27,4281.488139,154264.47,1,27,67,Greed
2024-04-28,0.0,43985.6,2,58,65,Greed
2024-04-29,526.9338359999999,108699.01,2,45,67,Greed
2024-04-30,0.0,125018.75,1,24,67,Greed
2024-05-01,0.0,87025.45,1,14,54,Neutral
2024-05-03,5306.017045,282682.64999999997,3,36,48,Neutral
2024-05-04,0.0,58998.75,2,9,67,Greed
2024-05-05,0.916,24068.350000000002,2,6,69,Greed
2024-05-06,968.59038,206016.43,1,9,71,Greed
2024-05-07,883.537693,108717.58,3,18,68,Greed
2024-05-08,1.56576,65973.57,2,13,64,Greed
2024-05-09,1147.595856,221966.12,2,28,55,Greed
2024-05-10,2101.741695,156882.0,1,22,66,Greed
2024-05-11,251.604742,63248.95,1,9,53,Neutral
2024-05-12,0.0,55179.56,2,23,56,Greed
2024-05-13,2136.853859,193118.9,2,28,57,Greed
2024-05-14,1150.5233050000002,145853.4,1,23,66,Greed
2024-05-15,948.970582,234922.57,1,36,64,Greed
2024-05-16,214.5898,162620.96,2,27,70,Greed
2024-05-18,3522.3946610000003,126303.14,1,25,73,Greed
2024-05-19,0.0,29998.09,1,8,72,Greed
2024-05-20,-74.818442,38124.75,2,10,70,Greed
2024-05-21,7289.397571999999,1100948.59,2,125,76,Greed
2024-05-22,0.0,44995.29,1,6,76,Greed
2024-05-23,0.0,74049.01999999999,2,20,76,Greed
2024-05-24,821.949278,50811.899999999994,1,2,74,Greed
2024-05-25,0.0,25007.149999999998,1,2,76,Greed
2024-05-26,773.4582,50763.450000000004,1,9,75,Greed
2024-05-29,0.0,30567.34,1,5,72,Greed
2024-06-07,7329.223137999999,787058.83,2,66,77,Greed
2024-06-08,0.0,45002.65,1,7,72,Greed
2024-06-09,0.0,22410.22,2,17,75,Greed
2024-06-10,0.0,24000.3,1,4,72,Greed
2024-06-11,4269.550668,354471.46,2,96,74,Greed
2024-06-12,0.0,1520.97,1,37,72,Greed
2024-06-13,6632.757115,132577.22,2,79,70,Greed
2024-06-14,10258.592609,139868.66,2,31,74,Greed
2024-06-15,3369.958346,718350.25,2,78,74,Greed
2024-06-16,0.0,25235.079999999998,1,11,71,Greed
2024-06-17,10599.502375,368380.12,2,38,71,Greed
2024-06-18,282.57636,263314.79,2,25,74,Greed
2024-06-19,4887.656944,417071.12,3,61,64,Greed
2024-06-20,57478.456026,207990.8,3,39,60,Greed
2024-06-21,773.5582039999999,176264.49,2,80,63,Greed
2024-06-22,756.876565,169594.27000000002,2,24,53,Neutral
2024-06-23,0.0,1792.12,1,5,55,Greed
2024-06-24,0.0,403002.8,2,31,51,Neutral
2024-06-25,4869.353105,103099.08,1,49,30,Fear
2024-06-26,4197.732182,365190.66000000003,2,72,46,Neutral
2024-06-27,0.0,130486.95,2,30,40,Fear
2024-06-29,6150.326145,280095.11,2,75,30,Fear
2024-06-30,0.0,30520.69,2,14,47,Neutral
2024-07-01,5065.839308,362670.14999999997,2,64,53,Neutral
2024-07-02,2421.253116,33347.47,1,18,51,Neutral
2024-07-03,1118.387284,179600.66,2,18,50,Neutral
2024-07-04,0.0,430568.01,2,25,44,Fear
2024-07-05,0.0,272289.89,2,32,29,Fear
2024-07-06,108.87217799999999,2490.17,1,24,26,Fear
2024-07-07,61.428942,498.75,1,10,29,Fear
2024-07-08,0.0,497.64,1,1,28,Fear
2024-07-09,648.984412,2736.45,1,15,27,Fear
2024-07-10,11977.734907,687900.21,2,56,28,Fear
2024-07-11,1876.812082,169887.02,1,19,29,Fear
2024-07-12,1412.314654,89582.97,2,19,25,Fear
2024-07-13,2913.617837,139189.19,2,17,25,Fear
2024-07-14,0.0,84001.13,1,7,33,Fear
2024-07-15,0.0,167993.85,1,21,52,Neutral
2024-07-16,0.0,144000.57,1,22,65,Greed
2024-07-17,0.0,174924.99,2,16,69,Greed
2024-07-18,2569.979964,642356.11,1,53,61,Greed
2024-07-19,2120.091364,146122.7,1,16,60,Greed
2024-07-20,129.66130099999998,99879.67,1,9,74,Greed
2024-07-21,0.0,43995.18,1,3,74,Greed
2024-07-22,2273.29301,225308.37,1,21,70,Greed
2024-07-23,88084.992348,269541.91,2,231,71,Greed
2024-07-24,0.0,33971.340000000004,4,61,69,Greed
2024-07-25,916.7382600000001,528555.31,3,78,68,Greed
2024-07-26,2425.262989,402487.08999999997,3,41,68,Greed
2024-07-27,6400.623656,900756.99,1,52,72,Greed
2024-07-28,0.0,31999.690000000002,1,3,71,Greed
2024-07-29,112.946925,300241.35,1,24,74,Greed
2024-07-30,0.0,36006.47,1,6,67,Greed
2024-07-31,0.0,40005.14,1,3,61,Greed
2024-08-01,0.0,179060.18,3,23,52,Neutral
2024-08-02,554.12049,366553.29,2,48,57,Greed
2024-08-03,0.0,137491.78,3,20,37,Fear
2024-08-04,-108604.496278,1036620.32,3,100,34,Fear
2024-08-05,-13174.108868,360305.28,2,61,26,Fear
2024-08-06,267.318048,61478.38,2,107,17,Fear
2024-08-07,188.789255,1992.77,2,32,29,Fear
2024-08-08,0.0,15840.07,1,5,20,Fear
2024-08-09,17930.978901,458868.42,3,73,48,Neutral
2024-08-10,0.0,11339.29,2,88,40,Fear
2024-08-11,847.7766200000001,44230.21,2,24,39,Fear
2024-08-12,858.6705000000001,54167.32,3,48,25,Fear
2024-08-13,212.08102,20797.87,3,23,31,Fear
2024-08-14,2168.9015130000003,66710.03,3,25,30,Fear
2024-08-15,0.0,1522.3700000000001,1,12,29,Fear
2024-08-16,825.230544,166382.84,2,35,27,Fear
2024-08-17,0.0,30037.26,1,29,25,Fear
